address,mean_profile_views,lon,lat
"Courtelary, CH",2033,7.072954699999999,47.1783274
"Cranves-Sales, FR",1163,6.292593,46.1876419
"Crissier, CH",3203.5,6.5743458,46.55186870000001
"Croix, FR",3652,3.148719,50.67731999999999
"Cuarnens, CH",262,6.4388657,46.62476040000001
"Cuers, FR",12690,6.072199899999999,43.237875
"Cugy (VD), CH",11861,6.640292899999999,46.5851396
"Curitiba, BR",51809,-49.2699727,-25.4372382
"Dagmersellen, CH",6245,7.9893353,47.2128386
"Damas-et-Bettegney, FR",268,6.262405999999999,48.211239
"Dannstadt-Schauernheim, DE",27,8.316546299999999,49.4275139
"Darmstadt, DE",1267.125,8.6511929,49.8728253
"Daun, DE",5731,NA,NA
"Debrecen, HU",11303,21.6254485,47.5288879
"Delémont, CH",943,7.345155500000001,47.365837
"Denzlingen, DE",1916,7.8890649,48.0690429
"Derendingen, CH",11096,7.585593099999999,47.1952433
"Dieburg, DE",4439,8.8444959,49.9010547
"Dielheim, DE",7,8.7354278,49.2832655
"Dietikon, CH",5569.5,8.39977,47.4053885
"Diez, DE",10293,NA,NA
"Dijon, FR",1512.0714285714284,5.04148,47.322047
"Dillingen, DE",599,10.4940239,48.5790918
"Dillingen/Saar, DE",1016,6.726753200000001,49.3630559
"Dirmstein, DE",12442,8.2499272,49.5646683
"Ditzingen, DE",1451,9.067556399999999,48.8264662
"Divonne-les-Bains, FR",4656,6.136039999999999,46.358168
"Dole, FR",2992,5.49081,47.09534
"Dombresson, CH",1527.5,6.9549699,47.07096629999999
"Dommartin, FR",6705,4.71234,45.837556
"Dompierre-sur-Besbre, FR",2054,3.679078,46.5196759
"Donaueschingen, DE",4360,8.4979461,47.95215229999999
"Dornach, CH",1625,7.6170412,47.4790491
"Dornbirn, AT",9931,9.743789999999999,47.4124
"Dortmund, DE",1453,7.465298100000001,51.5135872
"Doucier, FR",159,5.778905,46.656335
"Douvaine, FR",484.5,6.299196999999999,46.3048689
"Dracé, FR",2081,4.7662005,46.1571994
"Drap, FR",909,7.320831,43.754365
"Dreieich, DE",1014,8.6949231,50.0294877
"Dresden, DE",0,13.7372621,51.0504088
"Droisy, FR",67,5.882727000000001,45.965199
"Druento, IT",1543,7.5765427,45.1346452
"Dubendorf, CH",5177,8.618012799999999,47.3971476
"Dudweiler, DE",1644,7.0373908,49.2782687
"Dulliken, CH",6595,7.944903,47.3492274
"Désandans, FR",1030,6.677517,47.53507399999999
"Döhlau, DE",3920,11.9445068,50.2809442
"Düdingen, CH",382,7.191017899999999,46.8464198
"Düren, DE",561.6666666666666,6.4793683,50.8037183
"Dürmentingen, DE",123,9.5339323,48.11384229999999
"Dürrenäsch, CH",7619,8.156860500000002,47.3214469
"Düsseldorf, DE",1829,6.7734556,51.2277411
"Eberbach, DE",508,8.9898436,49.4694813
"Echallens, CH",1327.3333333333333,6.634450800000001,46.6410996
"Echandens, CH",1335,6.5418995,46.5352022
"Ecublens (VD), CH",1093,6.561525199999999,46.5296363
"Ecublens, CH",5627,6.561525199999999,46.5296363
"Effretikon, CH",14147,8.6903376,47.4272742
"Egeln, DE",3930,11.4281059,51.9411082
"Egg, CH",1565,8.6903921,47.2995246
"Eggenwil, CH",144,8.3401721,47.3702231
"Eggingen, DE",7662,8.393098,47.6979742
"Egliswil, CH",777,8.187972199999999,47.3492167
"Ehingen (Donau), DE",14885,9.726504199999999,48.2828352
"Ehrendingen, CH",13420,8.342054,47.4972188
"Eilendorf, DE",3725,6.1796883,50.778803
"Eimeldingen, DE",1552,7.595158,47.6306222
"Einsiedeln, CH",1626,8.7451537,47.127353
"Eisenhüttenstadt, DE",19091,14.6419022,52.1436615
"Eitorf, DE",564,7.451173999999999,50.7693433
"Ekaterinburg, RU",6950,60.64540859999999,56.8430993
"Elchenreute, DE",540,9.698395699999999,47.9539766
"Elsdorf, DE",1859,6.5635008,50.9392493
"Emberménil, FR",107,6.696174,48.63001
"Embrach, CH",3652,8.5938067,47.509856
"Embrun, FR",6676,6.495864999999999,44.564164
"Emmen, CH",10213,6.891697,52.7861939
"Emmenbrücke (Lucerna, Schweiz), CH",43796,8.275637,47.07723379999999
"Emmenbrücke, CH",13769.5,8.275637,47.07723379999999
"Emmendingen, DE",2584.3,7.8514309,48.1216285
"Endingen am Kaiserstuhl, DE",1744,7.700137600000001,48.142632
"Epalinges, CH",261,6.674199,46.54885729999999
"Ependes (FR), CH",6386,7.145980300000001,46.7537683
"Ependes, CH",295,7.145980300000001,46.7537683
"Epinal, FR",832,6.449403,48.172402
"Eppingen, DE",10474,8.9092339,49.1379832
"Erba, IT",325,9.209105,45.8138242
"Erbach, DE",1293,8.9961444,49.6558833
"Erftstadt, DE",4589,6.7774607,50.7948075
"Erkelenz, DE",2943,6.315906999999999,51.0784539
"Erkheim, DE",1805,10.336242,48.037988
"Erlangen, DE",4366,11.0119611,49.5896744
"Erlenbach im Simmental, CH",925,7.552995999999999,46.6605558
"Erlinsbach, CH",25847.5,8.0111999,47.4067819
"Erpel, DE",703,7.236866300000001,50.5862326
"Erstfeld, CH",5309.5,8.6483355,46.82288339999999
"Eschborn, DE",484,8.561455500000001,50.1467469
"Eschenbach, DE",9855,8.9220805,47.2406093
"Eschweiler, DE",756.2,6.263075,50.8107322
"Essingen, DE",781,10.0284452,48.8100763
"Esslingen am Neckar, DE",2300.125,9.3144229,48.742178
"Esslingen, CH",1067,9.3144229,48.742178
"Estavayer-le-Lac, CH",2674,6.845060800000001,46.8496401
